編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2018/8/18 上午 07:29:00,121.04,24,17.6,2.3,南投縣政府東偏北方  37.5  公里 (位於南投縣埔里鎮)
小區域,2018/8/18 上午 06:57:00,121.01,23.99,17.2,2.7,南投縣政府東偏北方  33.5  公里 (位於南投縣埔里鎮)
小區域,2018/8/18 上午 06:30:00,121.01,24.01,17.7,2.8,南投縣政府東偏北方  34.7  公里 (位於南投縣埔里鎮)
小區域,2018/8/18 上午 05:28:00,121.01,24,17.9,3.2,南投縣政府東偏北方  34.3  公里 (位於南投縣埔里鎮)
小區域,2018/8/18 上午 04:17:00,121.01,24.01,17.8,2.3,南投縣政府東偏北方  34.1  公里 (位於南投縣埔里鎮)
小區域,2018/8/18 上午 03:24:00,121.45,23.89,18.3,2.9,花蓮縣政府西偏南方  21.0  公里 (位於花蓮縣秀林鄉)
小區域,2018/8/18 上午 12:44:00,120.67,22.66,25.2,2.9,屏東縣政府東方  18.8  公里 (位於屏東縣瑪家鄉)
小區域,2018/8/17 下午 11:44:00,121.01,23.99,16.9,3.1,南投縣政府東偏北方  33.7  公里 (位於南投縣埔里鎮)
小區域,2018/8/17 下午 10:34:00,121.03,23.99,15.4,2.9,南投縣政府東偏北方  36.0  公里 (位於南投縣埔里鎮)
小區域,2018/8/17 下午 10:15:00,121.46,22.08,2.9,2.3,臺東縣政府南偏東方  80.9  公里 (位於臺灣東南部海域)
小區域,2018/8/17 下午 07:30:00,121.01,24,17.9,3.8,南投縣政府東偏北方  34.7  公里 (位於南投縣埔里鎮)
小區域,2018/8/17 下午 06:14:00,121.01,24.02,18.6,4.2,南投縣政府東偏北方  35.0  公里 (位於南投縣埔里鎮)
113   ,2018/8/17 下午 06:09:00,121.01,24.01,18.8,4.9,南投縣政府東偏北方  35.1  公里 (位於南投縣埔里鎮)
小區域,2018/8/17 下午 01:07:00,121.29,22.76,19.1,2.8,臺東縣政府東方  14.4  公里 (位於臺灣東南部海域)
小區域,2018/8/16 上午 02:30:00,121.67,23.92,37.5,3.3,花蓮縣政府南偏東方  9.0  公里 (位於花蓮縣近海)
小區域,2018/8/14 上午 03:27:00,120.97,23.09,3.3,2.8,臺東縣政府北偏西方  41.5  公里 (位於臺東縣海端鄉)
小區域,2018/8/11 上午 10:24:00,121.55,22.31,116.2,4.2,臺東縣政府東南方  64.8  公里 (位於臺灣東南部海域)
小區域,2018/8/11 上午 10:04:00,121.15,23.06,13.8,3.1,臺東縣政府北方  34.1  公里 (位於臺東縣海端鄉)
小區域,2018/8/11 上午 02:53:00,120.02,22.97,19.9,3.4,臺南市政府西方  16.9  公里 (位於臺灣西南部海域)
小區域,2018/8/10 下午 10:27:00,121.12,22.87,15.6,3.1,臺東縣政府北偏西方  12.9  公里 (位於臺東縣卑南鄉)
小區域,2018/8/10 上午 09:35:00,120.21,23.01,13.9,3.1,臺南市政府東偏北方  2.8  公里 (位於臺南市北區)
小區域,2018/8/9 下午 04:01:00,120.18,20.99,86.2,4.9,高雄市政府南方  181.6  公里 (位於臺灣南部海域)
小區域,2018/8/9 上午 03:18:00,120.65,22.62,19.7,3.4,屏東縣政府東偏南方  18.2  公里 (位於屏東縣泰武鄉)
小區域,2018/8/8 上午 09:51:00,121.49,23.96,15.7,2.8,花蓮縣政府西偏南方  14.0  公里 (位於花蓮縣秀林鄉)
小區域,2018/8/6 下午 12:38:00,120.53,22.95,15,3.8,高雄市政府北偏東方  43.2  公里 (位於高雄市杉林區)
小區域,2018/8/6 上午 05:30:00,122.65,24.6,97.4,4.6,宜蘭縣政府東方  90.9  公里 (位於臺灣東部海域)
小區域,2018/8/5 下午 08:53:00,121.38,22.88,39.6,2.8,臺東縣政府東偏北方  27.3  公里 (位於臺灣東南部海域)
小區域,2018/8/5 下午 12:09:00,121,22.17,13.8,3.9,臺東縣政府南偏西方  67.0  公里 (位於臺灣東南部海域)
小區域,2018/8/4 下午 07:53:00,120.03,22.99,20.3,4,臺南市政府西方  16.2  公里 (位於臺灣西南部海域)
小區域,2018/8/4 上午 09:49:00,121.79,24.66,76.4,4.1,宜蘭縣政府南偏東方  8.3  公里 (位於宜蘭縣冬山鄉)
小區域,2018/8/4 上午 05:08:00,121.44,24.34,7.1,2.6,花蓮縣政府北偏西方  43.4  公里 (位於花蓮縣秀林鄉)
小區域,2018/8/4 上午 03:37:00,121.44,24.34,6.6,3.6,花蓮縣政府北偏西方  43.0  公里 (位於花蓮縣秀林鄉)
小區域,2018/8/4 上午 12:26:00,120.03,22.99,17.6,3.7,臺南市政府西方  15.6  公里 (位於臺灣西南部海域)
小區域,2018/8/3 下午 12:51:00,120.03,23.01,19.4,3.2,臺南市政府西方  15.8  公里 (位於臺南市近海)
小區域,2018/8/2 下午 11:06:00,120.69,23.64,12.3,2.8,南投縣政府南方  28.5  公里 (位於南投縣竹山鎮)
小區域,2018/8/2 下午 09:58:00,120.7,23.64,11.9,2.6,南投縣政府南方  29.2  公里 (位於南投縣竹山鎮)
112   ,2018/8/2 下午 09:38:00,120.7,23.64,13.1,4.8,南投縣政府南方  29.3  公里 (位於南投縣竹山鎮)
小區域,2018/8/1 下午 06:29:00,121.45,24.34,6.9,2.6,花蓮縣政府北偏西方  43.0  公里 (位於花蓮縣秀林鄉)
小區域,2018/8/1 上午 02:42:00,122.37,24.31,57.8,3.9,宜蘭縣政府東南方  77.3  公里 (位於臺灣東部海域)
小區域,2018/7/31 下午 02:56:00,121.37,23.19,17.9,3.7,臺東縣政府北偏東方  53.1  公里 (位於臺東縣成功鎮)
小區域,2018/7/29 下午 08:44:00,121.49,23.93,17.9,3.1,花蓮縣政府西偏南方  15.4  公里 (位於花蓮縣秀林鄉)
小區域,2018/7/28 下午 04:18:00,121.34,23.17,15.2,2.6,臺東縣政府北偏東方  50.0  公里 (位於臺東縣成功鎮)
小區域,2018/7/27 上午 11:55:00,121.5,22.01,19,3,臺東縣政府南偏東方  90.0  公里 (位於臺灣東南部海域)
小區域,2018/7/27 上午 05:08:00,122.32,24.95,13.7,3.7,宜蘭縣政府東偏北方  60.8  公里 (位於臺灣東部海域)
小區域,2018/7/27 上午 04:45:00,122.32,24.95,12,3.8,宜蘭縣政府東偏北方  61.3  公里 (位於臺灣東部海域)
小區域,2018/7/27 上午 03:49:00,120.19,23.01,12.6,2.5,臺南市政府北偏東方  2.4  公里 (位於臺南市北區)
小區域,2018/7/26 下午 08:30:00,121.81,24.23,18,2.6,花蓮縣政府東北方  32.7  公里 (位於臺灣東部海域)
111   ,2018/7/25 下午 04:55:00,121.8,24.23,18.1,3.9,花蓮縣政府東北方  32.6  公里 (位於臺灣東部海域)
小區域,2018/7/25 上午 02:58:00,121.84,24.47,10.7,2.6,宜蘭縣政府南偏東方  29.8  公里 (位於宜蘭縣近海)
小區域,2018/7/25 上午 02:39:00,120.45,22.39,30.6,4,屏東縣政府南方  32.3  公里 (位於屏東縣近海)
小區域,2018/7/24 下午 10:09:00,121.84,24.54,8.7,2.4,宜蘭縣政府南偏東方  22.7  公里 (位於宜蘭縣南澳鄉)
小區域,2018/7/23 下午 09:59:00,120.88,22.34,9.8,2.3,臺東縣政府南偏西方  53.3  公里 (位於臺東縣大武鄉)
小區域,2018/7/23 下午 09:58:00,120.88,22.35,8.9,3.1,臺東縣政府西南方  52.6  公里 (位於臺東縣大武鄉)
小區域,2018/7/23 下午 06:04:00,121.69,24.01,36.3,3.9,花蓮縣政府東偏北方  7.1  公里 (位於花蓮縣近海)
小區域,2018/7/23 下午 03:45:00,121.17,22.11,48.6,4.2,臺東縣政府南方  71.7  公里 (位於臺灣東南部海域)
小區域,2018/7/23 下午 12:54:00,121.66,23.71,38.4,3.5,花蓮縣政府南方  31.4  公里 (位於臺灣東部海域)
小區域,2018/7/22 上午 02:35:00,120.63,23.5,8.4,3.1,嘉義市政府東方  17.8  公里 (位於嘉義縣竹崎鄉)
小區域,2018/7/21 上午 07:51:00,121.48,23.94,18.3,3.7,花蓮縣政府西偏南方  15.3  公里 (位於花蓮縣秀林鄉)
小區域,2018/7/20 下午 10:13:00,120.96,24.49,5.3,2.9,苗栗縣政府東偏南方  16.3  公里 (位於苗栗縣泰安鄉)
小區域,2018/7/20 下午 05:50:00,120.34,23.12,15.6,2.8,臺南市政府東北方  21.2  公里 (位於臺南市山上區)
小區域,2018/7/20 上午 09:39:00,121.51,20.78,99.8,5.6,臺東縣政府南方  221.7  公里 (位於臺灣南部海域)
小區域,2018/7/19 上午 10:30:00,122.05,24.64,55.5,4.3,宜蘭縣政府東偏南方  30.3  公里 (位於臺灣東部海域)
小區域,2018/7/18 上午 07:51:00,121.84,24.46,8.4,2.8,宜蘭縣政府南偏東方  31.1  公里 (位於宜蘭縣近海)
110   ,2018/7/17 上午 07:07:00,120.69,23.1,7.6,3.9,嘉義市政府南偏東方  48.3  公里 (位於高雄市六龜區)
小區域,2018/7/17 上午 02:27:00,121.41,23.72,15.1,3.4,花蓮縣政府西南方  37.2  公里 (位於花蓮縣萬榮鄉)
